player,age_years_as_of_2025_10_13,career_prize_money_usd,career_high_ranking,career_high_date
Alex de Minaur,26,19673027,6,2024-02-12
Nick Kyrgios,30,12650000,13,2016-10-24
Thanasi Kokkinakis,29,4610000,65,2023-08-14
Jordan Thompson,31,6070000,32,2024-05-13
Rinky Hijikata,24,1980000,70,2024-09-02
Ashleigh Barty,29,23829071,1,2019-06-24
Ajla Tomljanovic,32,7016041,32,2022-04-04
Storm Hunter,31,3785000,58,2024-03-04
Priscilla Hon,27,650000,118,2019-10-14
