year_start,year_end,surface,notes
1905,1987,Grass,Held at Kooyong Lawn and various locations until 1987
1988,2007,Rebound Ace,"Melbourne Park, introduced cushioned hard court"
2008,2019,Plexicushion,"Switch to Plexicushion for cooler, faster play"
2020,2025,GreenSet,"Current AO surface, used since 2020"
