decade,gender,count
1900s,Men,2
1910s,Men,1
1920s,Men,3
1930s,Men,5
1940s,Men,1
1950s,Men,11
1960s,Men,9
1970s,Men,8
1980s,Men,2
1990s,Men,0
2000s,Men,1
2010s,Men,0
2020s,Men,1
1900s,Women,0
1910s,Women,1
1920s,Women,2
1930s,Women,5
1940s,Women,2
1950s,Women,6
1960s,Women,10
1970s,Women,5
1980s,Women,3
1990s,Women,1
2000s,Women,1
2010s,Women,0
2020s,Women,1
