state_abbrev,state_name,longitude,latitude
WA,Western Australia,121.0,-25.0
NT,Northern Territory,133.0,-20.0
SA,South Australia,135.0,-31.0
QLD,Queensland,144.0,-20.0
NSW,New South Wales,147.0,-33.0
VIC,Victoria,144.0,-37.0
TAS,Tasmania,146.5,-42.0
ACT,Australian Capital Territory,149.1,-35.3
